FECHA_CORTE;UUID;ESCUELA;MODALIDAD;ANNIO_POSTULACION;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_ORIGEN;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;UBIGEO_IE;DEPARTAMENTO_IE;PROVINCIA_IE;DISTRITO_IE;EDAD;SEXO;PAGO;IDIOMA;LEE;ESCRIBE;HABLA;TIENE_DISCAPACIDAD;TIPO_COMUNIDAD;COMUNIDAD
20230626;eb35ae9c84a9e239398331595b9f5489d23e686ca3f699e17c58b7593b4683a3;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80108;CUSCO;CUSCO;WANCHAQ;20;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;37aa167373b8ddd18910267b616ff845eef0517201f7dad9c5f0cdbf3746ba52;ECOTURISMO;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;41b4b33d0e004fc7dc6018664697814b2bfd87d93dafd98d4bcd4243a610365f;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;19;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;60d7c1c310363c4b2bf1437aba8ba8df2a6f66cae4e25c1671cfc84808dda267;INGENIERÍA AGRONÓMICA TROPICAL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;28a9a7dc2ae0a4c9d17151793585c9cee258418321d11bf858327cf137d27cbc;INGENIERÍA DE ALIMENTOS;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80902;CUSCO;LA CONVENCIÓN;ECHARATE;80902;CUSCO;LA CONVENCIÓN;ECHARATE;80902;CUSCO;LA CONVENCIÓN;ECHARATE;20;FEMENINO;200;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;b0139127f9cb989ac5b71fa6bf3925b2b838b48134f72abcbdcaadb6236009d6;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;21;FEMENINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;112ebb674090e2d3d7c17e822fa3027c8783d6c7e5eb23706e34a1033484af51;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80906;CUSCO;LA CONVENCIÓN;QUELLOUNO;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;MASCULINO;250;Quechua;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;90a484b69506d0ad31c61d54e28eb0290a468a3859651bb78ea54e36403ce0f9;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;38c975de6a895f5579789ebfb7537bce5454e2ff02ce428ea4c0e1dae21a5971;INGENIERÍA CIVIL;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;MASCULINO;250;Español;SI;NO;NO;NO;NINGUNA;NINGUNA
20230626;3aaa3650e2a0464b482b97f305399137bdbfd0c0668353e8a5312e64b9f0f9d9;ECOTURISMO;PRIMERA OPORTUNIDAD PARA ESTUDIANTES DEL QUINTO AÑO DE SECUNDARIA;2020;80914;CUSCO;LA CONVENCIÓN;MEGANTONI;80902;CUSCO;LA CONVENCIÓN;ECHARATE;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;20;FEMENINO;250;Matsigenka;SI;NO;NO;NO;NINGUNA;NINGUNA
